Original Url,Title 1,Meta Description 1,H1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10055/inner-beauty/leos,"Leos - ""Inner Beauty""","Television Inner Beauty for Leos by Xynias, Wetzel, v. Büren Werbeagentur GmbH","Leos - ""Inner Beauty""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10124/indian-restaurant/ninemsn,"Ninemsn - ""Indian Restaurant""",Television Indian Restaurant for Ninemsn by Havas Partnership,"Ninemsn - ""Indian Restaurant""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/1013/social-democratic-party/social-democratic-party,"Social Democratic Party - ""Social-Democratic Party""","Television Social-Democratic Party for Social Democratic Party by KNSK Werbeagentur GmbH, GWA - Commercial for the social-democratic Party of Germany befor...","Social Democratic Party - ""Social-Democratic Party""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10246/sport-the-1st/the-observer,"The Observer - ""Sport The 1st""",Television Sport The 1st for The Observer by Ogilvy UK,"The Observer - ""Sport The 1st""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10247/history-has-changed/wind,"Wind - ""History Has Changed""",Television History Has Changed for Wind by TBWA\ITALIA S.p.A.,"Wind - ""History Has Changed""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10268/swimming/nestle,"Nestlé - ""Swimming""",Television Swimming for Nestlé by Publicis Italy - The flavor you were running after,"Nestlé - ""Swimming""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10269/sprint/nestle,"Nestlé - ""Sprint""",Television Sprint for Nestlé by Publicis Italy - The flavor you were running after,"Nestlé - ""Sprint""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10270/volley/nestle,"Nestlé - ""Volley""",Television Volley for Nestlé by Publicis Italy - The flavor you were running after,"Nestlé - ""Volley""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10297/tennis/hertz,"Hertz - ""Tennis""",Television Tennis for Hertz by Publicis Mojo,"Hertz - ""Tennis""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10457/natural-high/,"""Natural High""",Television Natural High for  by McCann Brisbane,"""Natural High""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10731/journey/ansett,"Ansett - ""Journey""",Television Journey for Ansett by GPY&R,"Ansett - ""Journey""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10772/ice-rugby/coca-cola,"Coca-Cola - ""Ice Rugby""",Television Ice Rugby for Coca-Cola by Publicis Mojo Auckland - Enjoy,"Coca-Cola - ""Ice Rugby""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/10854/x-treme-sports/nike,"Nike - ""X - Treme Sports""",Print X - Treme Sports for Nike by Dentsu Singapore,"Nike - ""X - Treme Sports""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11065/soccer/ed-abril-grupo-exame-magazine-voce-sa,"Ed Abril / Grupo Exame - Magazine Você sa - ""Soccer""",Magazine Soccer for Ed Abril / Grupo Exame - Magazine Você sa by F/Nazca Saatchi & Saatchi Publicidade Ltda.,"Ed Abril / Grupo Exame - Magazine Você sa - ""Soccer""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11070/golf/ed-abril-grupo-exame-magazine-voce-sa,"Ed Abril / Grupo Exame - Magazine Você sa - ""Golf""",Magazine Golf for Ed Abril / Grupo Exame - Magazine Você sa by F/Nazca Saatchi & Saatchi Publicidade Ltda.,"Ed Abril / Grupo Exame - Magazine Você sa - ""Golf""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/11282/sports-happen/nike,"Nike - ""Sports Happen""",Magazine Sports Happen for Nike by J. Walter Thompson Taipei,"Nike - ""Sports Happen""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
