Original Url,Title 1,Meta Description 1,H1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34475462/hippo-plan-t/hippo-baked-munchies,"Hippo Baked Munchies - ""Hippo Plan-T""",Case Study Hippo Plan-T for Hippo Baked Munchies by Creativeland Asia,"Hippo Baked Munchies - ""Hippo Plan-T""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34478394/india-ka-tadka/dhara,"Dhara - ""India Ka Tadka""",Television & Cinema India Ka Tadka for Dhara by DDB Mudra Group,"Dhara - ""India Ka Tadka""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34479791/flavours-without-borders/hippo-world-toasties,"Hippo World Toasties - ""Flavours Without Borders""",Television Flavours Without Borders for Hippo World Toasties by Creativeland Asia,"Hippo World Toasties - ""Flavours Without Borders""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34489080/munch/nestle,"Nestlé - ""Munch""",Television Munch for Nestlé by J. Walter Thompson Delhi,"Nestlé - ""Munch""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34489322/maximum/horlicks-nutribic,"Horlicks Nutribic - ""Maximum""",Television Maximum for Horlicks Nutribic by J. Walter Thompson Delhi,"Horlicks Nutribic - ""Maximum""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34500212/fortune-oil-grandmother/fortune-oil,"Fortune Oil - ""Fortune Oil - Grandmother""",Television Fortune Oil - Grandmother for Fortune Oil by Ogilvy India - The entire film is set in a hospital. An old lady with a tiffin box climbs up the st...,"Fortune Oil - ""Fortune Oil - Grandmother""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34513286/health-cha-shree-ganesh/nutralite,"Nutralite - ""Health Cha Shree Ganesh""",Case Study Health Cha Shree Ganesh for Nutralite by DDB Mudra,"Nutralite - ""Health Cha Shree Ganesh""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34516651/neighbours/maggi,"Maggi - ""Neighbours""",Social Media Neighbours for Maggi,"Maggi - ""Neighbours""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34516653/mom/maggi,"Maggi - ""Mom""",Social Media Mom for Maggi,"Maggi - ""Mom""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34516654/menu-cards/maggi,"Maggi - ""Menu Cards""",Social Media Menu Cards for Maggi,"Maggi - ""Menu Cards""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34548921/gamers-box-2-0/kfc,"KFC - ""Gamers Box 2.0""",Web Film Gamers Box 2.0 for KFC by Blink Digital,"KFC - ""Gamers Box 2.0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/34568732/noon-assembly/kwality-milk,"Kwality Milk - ""Noon Assembly""","Television & Cinema Noon Assembly for Kwality Milk by McCann, Health","Kwality Milk - ""Noon Assembly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.adforum.com/creative-work/ad/player/37213/bolti-bandh/britannia-chutney-bread,"Britannia Chutney Bread - ""Bolti Bandh""",Television & Cinema Bolti Bandh for Britannia Chutney Bread by Lowe Lintas India - It leaves you speechless,"Britannia Chutney Bread - ""Bolti Bandh""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
