,Title 1,Meta Description 1,H1-1
0,"Leos - ""Inner Beauty""","Television Inner Beauty for Leos by Xynias, Wetzel, v. Büren Werbeagentur GmbH","Leos - ""Inner Beauty"""
1,"Ninemsn - ""Indian Restaurant""",Television Indian Restaurant for Ninemsn by Havas Partnership,"Ninemsn - ""Indian Restaurant"""
2,"Social Democratic Party - ""Social-Democratic Party""","Television Social-Democratic Party for Social Democratic Party by KNSK Werbeagentur GmbH, GWA - Commercial for the social-democratic Party of Germany befor...","Social Democratic Party - ""Social-Democratic Party"""
3,"The Observer - ""Sport The 1st""",Television Sport The 1st for The Observer by Ogilvy UK,"The Observer - ""Sport The 1st"""
4,"Wind - ""History Has Changed""",Television History Has Changed for Wind by TBWA\ITALIA S.p.A.,"Wind - ""History Has Changed"""
5,"Nestlé - ""Swimming""",Television Swimming for Nestlé by Publicis Italy - The flavor you were running after,"Nestlé - ""Swimming"""
6,"Nestlé - ""Sprint""",Television Sprint for Nestlé by Publicis Italy - The flavor you were running after,"Nestlé - ""Sprint"""
7,"Nestlé - ""Volley""",Television Volley for Nestlé by Publicis Italy - The flavor you were running after,"Nestlé - ""Volley"""
8,"Hertz - ""Tennis""",Television Tennis for Hertz by Publicis Mojo,"Hertz - ""Tennis"""
9,"""Natural High""",Television Natural High for  by McCann Brisbane,"""Natural High"""
10,"Ansett - ""Journey""",Television Journey for Ansett by GPY&R,"Ansett - ""Journey"""
11,"Coca-Cola - ""Ice Rugby""",Television Ice Rugby for Coca-Cola by Publicis Mojo Auckland - Enjoy,"Coca-Cola - ""Ice Rugby"""
12,"Nike - ""X - Treme Sports""",Print X - Treme Sports for Nike by Dentsu Singapore,"Nike - ""X - Treme Sports"""
13,"Ed Abril / Grupo Exame - Magazine Você sa - ""Soccer""",Magazine Soccer for Ed Abril / Grupo Exame - Magazine Você sa by F/Nazca Saatchi & Saatchi Publicidade Ltda.,"Ed Abril / Grupo Exame - Magazine Você sa - ""Soccer"""
14,"Ed Abril / Grupo Exame - Magazine Você sa - ""Golf""",Magazine Golf for Ed Abril / Grupo Exame - Magazine Você sa by F/Nazca Saatchi & Saatchi Publicidade Ltda.,"Ed Abril / Grupo Exame - Magazine Você sa - ""Golf"""
